Metric ID,Metric Name,Application,Dimensions,Severity,Avg Execution Time (ms),Avg Computed Rows
METRIC_2270,METRIC_2270,APP_0020,20,critical,528120.0,9135026.0
METRIC_1948,METRIC_1948,APP_0020,18,critical,204718.5,7646515.0
METRIC_1216,METRIC_1216,APP_0020,18,critical,62313.33,3103381.0
METRIC_1227,METRIC_1227,APP_0020,18,critical,42054.0,1903851.0
METRIC_1513,METRIC_1513,APP_0020,17,critical,115148.67,7274890.0
METRIC_1226,METRIC_1226,APP_0020,17,critical,73160.0,3566002.0
METRIC_1312,METRIC_1312,APP_0020,17,critical,64339.0,2171090.0
METRIC_1515,METRIC_1515,APP_0020,17,critical,58725.5,2848094.0
METRIC_1225,METRIC_1225,APP_0020,17,critical,49993.25,2188925.0
METRIC_1229,METRIC_1229,APP_0020,17,critical,48562.0,894320.0
METRIC_1228,METRIC_1228,APP_0020,17,critical,38562.0,1351728.0
METRIC_1230,METRIC_1230,APP_0020,17,critical,29649.0,894320.0
METRIC_1519,METRIC_1519,APP_0020,16,critical,65860.5,2916004.0
METRIC_1514,METRIC_1514,APP_0020,16,critical,60351.5,2916004.0
METRIC_1232,METRIC_1232,APP_0020,16,critical,37384.5,1057017.0
METRIC_1213,METRIC_1213,APP_0020,16,critical,27947.67,1502613.0
METRIC_1223,METRIC_1223,APP_0020,16,critical,26665.67,1512768.0
METRIC_1696,METRIC_1696,APP_0017,16,critical,24621.32,761066.0
METRIC_0810,METRIC_0810,APP_0020,16,critical,7498.67,252230.0
METRIC_0807,METRIC_0807,APP_0020,16,critical,5003.67,109324.0
METRIC_1196,METRIC_1196,APP_0020,16,critical,3633.33,97494.0
METRIC_0814,METRIC_0814,APP_0020,16,critical,3066.33,2501.0
METRIC_1161,METRIC_1161,APP_0008,16,critical,2891.0,219652.0
METRIC_1197,METRIC_1197,APP_0020,16,critical,2589.0,4647.0
METRIC_1246,METRIC_1246,APP_0020,16,critical,328.0,
METRIC_0757,METRIC_0757,APP_0017,16,critical,276.71,2360.0
METRIC_0837,METRIC_0837,APP_0017,16,critical,249.0,1755.0
METRIC_1622,METRIC_1622,APP_0020,16,critical,205.0,
METRIC_0854,METRIC_0854,APP_0017,15,critical,114206.29,4839839.0
METRIC_1038,METRIC_1038,APP_0017,15,critical,34328.5,996390.0
METRIC_0497,METRIC_0497,APP_0020,15,critical,32659.0,960176.0
METRIC_1035,METRIC_1035,APP_0017,15,critical,24709.5,912510.0
METRIC_1540,METRIC_1540,APP_0020,15,critical,18199.0,569693.0
METRIC_1217,METRIC_1217,APP_0020,15,critical,15856.33,511635.0
METRIC_1015,METRIC_1015,APP_0017,15,critical,14491.0,456255.0
METRIC_1013,METRIC_1013,APP_0017,15,critical,13203.0,456255.0
METRIC_0767,METRIC_0767,APP_0020,15,critical,10943.44,270038.0
METRIC_1231,METRIC_1231,APP_0020,15,critical,9747.25,272337.0
METRIC_2165,METRIC_2165,APP_0018,15,critical,4917.0,259554.0
METRIC_1077,METRIC_1077,APP_0017,15,critical,4456.67,194420.0
METRIC_0723,METRIC_0723,APP_0008,15,critical,3814.0,85470.0
METRIC_0999,METRIC_0999,APP_0017,15,critical,3713.6,159451.0
METRIC_0758,METRIC_0758,APP_0017,15,critical,3066.0,269190.0
METRIC_1025,METRIC_1025,APP_0017,15,critical,2387.5,166455.0
METRIC_1078,METRIC_1078,APP_0017,15,critical,2103.0,204555.0
METRIC_1079,METRIC_1079,APP_0017,15,critical,2004.0,96780.0
METRIC_2165,METRIC_2165,APP_0010,15,critical,1904.0,101026.0
METRIC_1034,METRIC_1034,APP_0017,15,critical,1067.0,1350.0
METRIC_1076,METRIC_1076,APP_0017,15,critical,534.0,450.0
METRIC_0809,METRIC_0809,APP_0017,15,critical,516.0,360.0
