Entity Type,Entity ID,Entity Name,Application,Severity,Avg Execution Time (ms),Max Execution Time (ms),Execution Count,Avg Computed Rows,Dimensions
metric,METRIC_2270,METRIC_2270,APP_0020,critical,528120.0,698343.0,3,9135026.0,20
metric,METRIC_1506,METRIC_1506,APP_0020,critical,518851.0,518851.0,1,,
metric,METRIC_1322,METRIC_1322,APP_0014,critical,495404.0,495404.0,1,,
metric,METRIC_0818,METRIC_0818,APP_0010,critical,404382.0,404382.0,1,5430.0,5
metric,METRIC_2273,METRIC_2273,APP_0020,critical,374772.5,474104.0,2,18801217.0,10
metric,METRIC_2484,METRIC_2484,APP_0018,critical,353550.0,353550.0,1,,
metric,METRIC_0881,METRIC_0881,APP_0017,critical,350736.25,536082.0,4,34870929.0,2
metric,METRIC_1065,METRIC_1065,APP_0017,critical,340097.1,949646.0,10,16929928.0,9
metric,METRIC_1143,METRIC_1143,APP_0017,critical,300546.57,682581.0,7,20173917.0,11
metric,METRIC_1346,METRIC_1346,APP_0017,critical,298357.78,465523.0,9,938105.0,2
metric,METRIC_1164,METRIC_1164,APP_0020,critical,278403.24,965889.0,17,,
metric,METRIC_1159,METRIC_1159,APP_0017,critical,273490.25,415393.0,4,17650806.0,11
metric,METRIC_0655,METRIC_0655,APP_0017,critical,263301.88,423478.0,8,38414633.0,4
metric,METRIC_2566,METRIC_2566,APP_0017,critical,255818.0,455017.0,5,3087858.0,
metric,METRIC_1057,METRIC_1057,APP_0017,critical,254653.45,741513.0,11,7955319.0,8
metric,METRIC_1149,METRIC_1149,APP_0017,critical,250495.8,348754.0,5,18828408.0,11
metric,METRIC_0739,METRIC_0739,APP_0017,critical,229150.0,385557.0,9,34870422.0,2
metric,METRIC_1181,METRIC_1181,APP_0017,critical,222706.0,570998.0,5,5170511.0,12
metric,METRIC_1091,METRIC_1091,APP_0017,critical,217497.11,501539.0,9,7398167.0,4
metric,METRIC_1948,METRIC_1948,APP_0020,critical,204718.5,231375.0,2,7646515.0,18
metric,METRIC_0886,METRIC_0886,APP_0017,critical,202025.3,425731.0,10,13390025.0,4
metric,METRIC_1476,METRIC_1476,APP_0017,critical,201337.86,331360.0,7,15060166.0,4
metric,METRIC_1093,METRIC_1093,APP_0017,critical,198322.5,522349.0,10,5654068.0,8
metric,METRIC_1558,METRIC_1558,APP_0017,critical,196086.4,301885.0,5,2230272.0,
metric,METRIC_1329,METRIC_1329,APP_0020,critical,193914.8,1517641.0,71,,
metric,METRIC_0954,METRIC_0954,APP_0017,critical,191736.17,421251.0,6,8612080.0,11
metric,METRIC_1042,METRIC_1042,APP_0017,critical,187081.43,745584.0,21,5767767.0,12
metric,METRIC_1348,METRIC_1348,APP_0017,critical,180341.88,215905.0,8,13385321.0,2
metric,METRIC_0887,METRIC_0887,APP_0017,critical,179839.44,409654.0,9,7403828.0,4
metric,METRIC_1885,METRIC_1885,APP_0005,critical,178364.0,178364.0,1,20298985.0,2
metric,METRIC_1344,METRIC_1344,APP_0017,critical,178034.5,206236.0,8,13385321.0,2
metric,METRIC_1123,METRIC_1123,APP_0017,critical,167638.4,437644.0,5,5182832.0,12
metric,METRIC_0962,METRIC_0962,APP_0017,critical,164746.5,425091.0,6,6439040.0,12
metric,METRIC_1343,METRIC_1343,APP_0017,critical,157134.38,193723.0,8,13385332.0,2
metric,METRIC_0883,METRIC_0883,APP_0017,critical,156249.17,241927.0,6,15391320.0,2
metric,METRIC_0889,METRIC_0889,APP_0017,critical,154345.0,436657.0,8,8843329.0,12
metric,METRIC_1146,METRIC_1146,APP_0017,critical,154190.36,393735.0,11,8472568.0,5
metric,METRIC_0997,METRIC_0997,APP_0017,critical,150234.0,193169.0,5,14792562.0,2
metric,METRIC_1058,METRIC_1058,APP_0017,critical,150180.2,258534.0,5,7511709.0,3
metric,METRIC_1037,METRIC_1037,APP_0017,critical,148060.41,637355.0,17,4328505.0,12
metric,METRIC_0855,METRIC_0855,APP_0017,critical,146128.42,267273.0,12,2669020.0,11
metric,METRIC_1000,METRIC_1000,APP_0017,critical,145803.43,222209.0,7,8330099.0,5
metric,METRIC_0891,METRIC_0891,APP_0017,critical,141066.89,440134.0,9,7869215.0,12
metric,METRIC_0980,METRIC_0980,APP_0017,critical,132154.6,323292.0,5,5182832.0,12
metric,METRIC_0797,METRIC_0797,APP_0017,critical,130132.6,254399.0,5,7736609.0,12
metric,METRIC_1086,METRIC_1086,APP_0017,critical,128562.2,181821.0,5,3930077.0,6
metric,METRIC_0800,METRIC_0800,APP_0017,critical,128252.4,230191.0,5,7060746.0,5
metric,METRIC_1119,METRIC_1119,APP_0017,critical,127602.0,263010.0,10,7502092.0,8
metric,METRIC_1148,METRIC_1148,APP_0017,critical,127442.44,195777.0,9,13313984.0,5
metric,METRIC_1090,METRIC_1090,APP_0017,critical,127336.44,398032.0,9,12140894.0,5
