Metric ID,Metric Name,Application,Scoped Level,Avg Execution Time (ms),Total Execution Time (ms),Execution Count,Potential Savings %
METRIC_1346,METRIC_1346,APP_0017,NoChange,311801.6,1559008.0,5,50.0
METRIC_1065,METRIC_1065,APP_0017,NoChange,214126.8,1070634.0,5,50.0
METRIC_1302,METRIC_1302,APP_0020,NoChange,82457.8,824578.0,10,50.0
METRIC_0779,METRIC_0779,APP_0020,NoChange,20988.0,692604.0,33,50.0
METRIC_0786,METRIC_0786,APP_0020,NoChange,13479.6,579623.0,43,50.0
METRIC_1143,METRIC_1143,APP_0017,NoChange,273387.0,546774.0,2,50.0
METRIC_1343,METRIC_1343,APP_0017,NoChange,177982.67,533948.0,3,50.0
METRIC_1344,METRIC_1344,APP_0017,NoChange,167290.0,501870.0,3,50.0
METRIC_1476,METRIC_1476,APP_0017,NoChange,247851.0,495702.0,2,50.0
METRIC_1785,METRIC_1785,APP_0020,NoChange,82117.33,492704.0,6,50.0
METRIC_0854,METRIC_0854,APP_0017,NoChange,115772.75,463091.0,4,50.0
METRIC_0655,METRIC_0655,APP_0017,NoChange,224672.5,449345.0,2,50.0
METRIC_0855,METRIC_0855,APP_0017,NoChange,215211.5,430423.0,2,50.0
METRIC_0682,METRIC_0682,APP_0017,NoChange,137558.33,412675.0,3,50.0
METRIC_0739,METRIC_0739,APP_0017,NoChange,205692.5,411385.0,2,50.0
METRIC_0818,METRIC_0818,APP_0010,NoChange,404382.0,404382.0,1,50.0
METRIC_0783,METRIC_0783,APP_0020,NoChange,10720.0,396640.0,37,50.0
METRIC_1799,METRIC_1799,APP_0020,NoChange,129339.33,388018.0,3,50.0
METRIC_1000,METRIC_1000,APP_0017,NoChange,182660.0,365320.0,2,50.0
METRIC_0879,METRIC_0879,APP_0017,NoChange,120805.0,362415.0,3,50.0
METRIC_2563,METRIC_2563,APP_0020,NoChange,20856.71,354564.0,17,50.0
METRIC_1537,METRIC_1537,APP_0020,NoChange,3078.12,347827.0,113,50.0
METRIC_0787,METRIC_0787,APP_0020,NoChange,9158.56,329708.0,36,50.0
METRIC_1348,METRIC_1348,APP_0017,NoChange,154340.0,308680.0,2,50.0
METRIC_0954,METRIC_0954,APP_0017,NoChange,144452.5,288905.0,2,50.0
METRIC_1057,METRIC_1057,APP_0017,NoChange,69940.0,279760.0,4,50.0
METRIC_1315,METRIC_1315,APP_0020,NoChange,4469.61,277116.0,62,50.0
METRIC_2270,METRIC_2270,APP_0020,NoChange,268712.0,268712.0,1,50.0
METRIC_0788,METRIC_0788,APP_0020,NoChange,17819.33,267290.0,15,50.0
METRIC_2345,METRIC_2345,APP_0020,NoChange,52584.2,262921.0,5,50.0
METRIC_1093,METRIC_1093,APP_0017,NoChange,65290.25,261161.0,4,50.0
METRIC_1071,METRIC_1071,APP_0017,NoChange,62196.5,248786.0,4,50.0
METRIC_1149,METRIC_1149,APP_0017,NoChange,248117.0,248117.0,1,50.0
METRIC_0692,METRIC_0692,APP_0017,NoChange,122747.0,245494.0,2,50.0
METRIC_1508,METRIC_1508,APP_0020,NoChange,3059.08,238608.0,78,50.0
METRIC_1122,METRIC_1122,APP_0017,NoChange,44094.4,220472.0,5,50.0
METRIC_1042,METRIC_1042,APP_0017,NoChange,109101.0,218202.0,2,50.0
METRIC_0792,METRIC_0792,APP_0020,NoChange,53185.75,212743.0,4,50.0
METRIC_0856,METRIC_0856,APP_0017,NoChange,209409.0,209409.0,1,50.0
METRIC_1007,METRIC_1007,APP_0017,NoChange,91233.0,182466.0,2,50.0
METRIC_1885,METRIC_1885,APP_0005,NoChange,178364.0,178364.0,1,50.0
METRIC_1395,METRIC_1395,APP_0012,NoChange,35652.6,178263.0,5,50.0
METRIC_1119,METRIC_1119,APP_0017,NoChange,44369.25,177477.0,4,50.0
METRIC_1160,METRIC_1160,APP_0017,NoChange,33831.4,169157.0,5,50.0
METRIC_0677,METRIC_0677,APP_0017,NoChange,56248.67,168746.0,3,50.0
METRIC_0698,METRIC_0698,APP_0017,NoChange,56219.33,168658.0,3,50.0
METRIC_0662,METRIC_0662,APP_0017,NoChange,32621.2,163106.0,5,50.0
METRIC_1800,METRIC_1800,APP_0020,NoChange,80007.0,160014.0,2,50.0
METRIC_0790,METRIC_0790,APP_0020,NoChange,13488.18,148370.0,11,50.0
METRIC_0962,METRIC_0962,APP_0017,NoChange,146584.0,146584.0,1,50.0
